2026-08-20T21:45:56.741867+00:00 runnervm76f27 run-nodelet.sh[4573]: 2026-08-20T21:45:56.741805Z  INFO CreateContainer succeeded container=app container_id=3d36dc7d598aebfd97f7819f37c84f88964b7a7eeb9592b3fd4717e05e4f0a9f
2026-08-20T21:46:26.715117+00:00 runnervm76f27 run-nodelet.sh[4573]: 2026-08-20T21:46:26.715068Z  INFO torn down pod=flamegraph-wl-1/workload
2026-08-20T21:46:26.867949+00:00 runnervm76f27 run-nodelet.sh[4573]: 2026-08-20T21:46:26.867794Z  INFO torn down pod=flamegraph-wl-3/workload
2026-08-20T21:46:26.869630+00:00 runnervm76f27 run-nodelet.sh[4573]: 2026-08-20T21:46:26.869596Z  INFO torn down pod=flamegraph-wl-2/workload
2026-08-20T21:46:26.916937+00:00 runnervm76f27 run-nodelet.sh[4573]: 2026-08-20T21:46:26.916878Z  INFO torn down pod=flamegraph-wl-4/workload
2026-08-20T21:46:26.917879+00:00 runnervm76f27 run-nodelet.sh[4573]: 2026-08-20T21:46:26.917799Z  WARN failed to write pod status pod=flamegraph-wl-2/workload error=ApiError: pods "workload" not found: NotFound (Status { status: Some(Failure), code: 404, message: "pods \"workload\" not found", metadata: Some(ListMeta { continue_: None, remaining_item_count: None, resource_version: None, self_link: None }), reason: "NotFound", details: Some(StatusDetails { name: "workload", group: "", kind: "pods", uid: "", causes: [], retry_after_seconds: 0 }) })
2026-08-20T21:46:26.917879+00:00 runnervm76f27 run-nodelet.sh[4573]: Caused by:
2026-08-20T21:46:26.917879+00:00 runnervm76f27 run-nodelet.sh[4573]:     pods "workload" not found: NotFound
2026-08-20T21:46:26.927059+00:00 runnervm76f27 run-nodelet.sh[4573]: 2026-08-20T21:46:26.926981Z  INFO torn down pod=flamegraph-wl-2/workload
2026-08-20T21:46:26.952582+00:00 runnervm76f27 run-nodelet.sh[4573]: 2026-08-20T21:46:26.952458Z  INFO torn down pod=flamegraph-wl-4/workload
2026-08-20T21:46:26.960678+00:00 runnervm76f27 run-nodelet.sh[4573]: 2026-08-20T21:46:26.960639Z  INFO torn down pod=flamegraph-wl-5/workload
2026-08-20T21:46:26.966097+00:00 runnervm76f27 run-nodelet.sh[4573]: 2026-08-20T21:46:26.966022Z  WARN failed to write pod status pod=flamegraph-wl-5/workload error=ApiError: pods "workload" not found: NotFound (Status { status: Some(Failure), code: 404, message: "pods \"workload\" not found", metadata: Some(ListMeta { continue_: None, remaining_item_count: None, resource_version: None, self_link: None }), reason: "NotFound", details: Some(StatusDetails { name: "workload", group: "", kind: "pods", uid: "", causes: [], retry_after_seconds: 0 }) })
2026-08-20T21:46:26.966097+00:00 runnervm76f27 run-nodelet.sh[4573]: Caused by:
2026-08-20T21:46:26.966097+00:00 runnervm76f27 run-nodelet.sh[4573]:     pods "workload" not found: NotFound
2026-08-20T21:46:26.971920+00:00 runnervm76f27 run-nodelet.sh[4573]: 2026-08-20T21:46:26.971883Z  INFO torn down pod=flamegraph-wl-3/workload
2026-08-20T21:46:26.972306+00:00 runnervm76f27 run-nodelet.sh[4573]: 2026-08-20T21:46:26.972091Z  INFO torn down pod=flamegraph-wl-2/workload
2026-08-20T21:46:26.974963+00:00 runnervm76f27 run-nodelet.sh[4573]: 2026-08-20T21:46:26.974907Z  INFO torn down pod=flamegraph-wl-4/workload
2026-08-20T21:46:26.977791+00:00 runnervm76f27 run-nodelet.sh[4573]: 2026-08-20T21:46:26.977755Z  INFO torn down pod=flamegraph-wl-5/workload
2026-08-20T21:46:27.115549+00:00 runnervm76f27 run-nodelet.sh[4573]: 2026-08-20T21:46:27.115032Z  INFO torn down pod=flamegraph-wl-7/workload
2026-08-20T21:46:27.120607+00:00 runnervm76f27 run-nodelet.sh[4573]: 2026-08-20T21:46:27.120541Z  INFO torn down pod=flamegraph-wl-6/workload
2026-08-20T21:46:27.130280+00:00 runnervm76f27 run-nodelet.sh[4573]: 2026-08-20T21:46:27.130178Z  INFO torn down pod=flamegraph-wl-7/workload
2026-08-20T21:46:27.134460+00:00 runnervm76f27 run-nodelet.sh[4573]: 2026-08-20T21:46:27.134423Z  INFO torn down pod=flamegraph-wl-6/workload
2026-08-20T21:46:27.262450+00:00 runnervm76f27 run-nodelet.sh[4573]: 2026-08-20T21:46:27.262048Z  INFO torn down pod=flamegraph-wl-8/workload
2026-08-20T21:46:27.263015+00:00 runnervm76f27 run-nodelet.sh[4573]: 2026-08-20T21:46:27.262981Z  INFO torn down pod=flamegraph-wl-9/workload
2026-08-20T21:46:27.272532+00:00 runnervm76f27 run-nodelet.sh[4573]: 2026-08-20T21:46:27.272461Z  INFO torn down pod=flamegraph-wl-9/workload
2026-08-20T21:46:27.273390+00:00 runnervm76f27 run-nodelet.sh[4573]: 2026-08-20T21:46:27.273348Z  INFO torn down pod=flamegraph-wl-8/workload
2026-08-20T21:47:15.554775+00:00 runnervm76f27 run-nodelet.sh[4573]: 2026-08-20T21:47:15.554713Z  INFO node status pushed
2026-08-20T21:48:15.593532+00:00 runnervm76f27 run-nodelet.sh[4573]: 2026-08-20T21:48:15.593419Z  INFO node status pushed
2026-08-20T21:49:15.632990+00:00 runnervm76f27 run-nodelet.sh[4573]: 2026-08-20T21:49:15.632876Z  INFO node status pushed
2026-08-20T21:50:15.673781+00:00 runnervm76f27 run-nodelet.sh[4573]: 2026-08-20T21:50:15.673722Z  INFO node status pushed
2026-08-20T21:51:15.713996+00:00 runnervm76f27 run-nodelet.sh[4573]: 2026-08-20T21:51:15.713888Z  INFO node status pushed
2026-08-20T21:52:15.755388+00:00 runnervm76f27 run-nodelet.sh[4573]: 2026-08-20T21:52:15.755281Z  INFO node status pushed
2026-08-20T21:53:15.793845+00:00 runnervm76f27 run-nodelet.sh[4573]: 2026-08-20T21:53:15.793791Z  INFO node status pushed
2026-08-20T21:54:15.833266+00:00 runnervm76f27 run-nodelet.sh[4573]: 2026-08-20T21:54:15.833194Z  INFO node status pushed
2026-08-20T21:55:15.873159+00:00 runnervm76f27 run-nodelet.sh[4573]: 2026-08-20T21:55:15.873090Z  INFO node status pushed
2026-08-20T21:56:15.912716+00:00 runnervm76f27 run-nodelet.sh[4573]: 2026-08-20T21:56:15.912659Z  INFO node status pushed
2026-08-20T21:57:15.952868+00:00 runnervm76f27 run-nodelet.sh[4573]: 2026-08-20T21:57:15.952706Z  INFO node status pushed
2026-08-20T21:58:15.993954+00:00 runnervm76f27 run-nodelet.sh[4573]: 2026-08-20T21:58:15.993902Z  INFO node status pushed
2026-08-20T21:59:16.035579+00:00 runnervm76f27 run-nodelet.sh[4573]: 2026-08-20T21:59:16.035529Z  INFO node status pushed
2026-08-20T22:00:16.079443+00:00 runnervm76f27 run-nodelet.sh[4573]: 2026-08-20T22:00:16.079340Z  INFO node status pushed
2026-08-20T22:01:16.160623+00:00 runnervm76f27 run-nodelet.sh[4573]: 2026-08-20T22:01:16.160566Z  INFO node status pushed
2026-08-20T22:02:16.200762+00:00 runnervm76f27 run-nodelet.sh[4573]: 2026-08-20T22:02:16.200703Z  INFO node status pushed
2026-08-20T22:03:16.241481+00:00 runnervm76f27 run-nodelet.sh[4573]: 2026-08-20T22:03:16.241373Z  INFO node status pushed
2026-08-20T22:04:16.281545+00:00 runnervm76f27 run-nodelet.sh[4573]: 2026-08-20T22:04:16.281490Z  INFO node status pushed
2026-08-20T22:05:16.320500+00:00 runnervm76f27 run-nodelet.sh[4573]: 2026-08-20T22:05:16.320445Z  INFO node status pushed
